1,0
2,10
3,100
4,103
5,107
6,11
7,110
8,111
9,114
10,12
11,124
12,125
13,126
14,13
15,14
16,149
17,15
18,150
19,151
20,153
21,16
22,17
23,170
24,18
25,19
26,192
27,20
28,200
29,203
30,204
31,208
32,21
33,210
34,215
35,218
36,22
37,220
38,222
39,23
40,233
41,234
42,238
43,239
44,24
45,245
46,249
47,25
48,258
49,259
50,26
51,265
52,266
53,27
54,270
55,28
56,288
57,289
58,29
59,291
60,293
61,30
62,308
63,31
64,32
65,322
66,33
67,330
68,337
69,34
70,35
71,36
72,37
73,38
74,39
75,40
76,41
77,42
78,43
79,46
80,47
81,48
82,49
83,51
84,53
85,54
86,55
87,56
88,57
89,58
90,59
91,6
92,60
93,62
94,68
95,72
96,73
97,75
98,76
99,8
100,81
101,82
102,83
103,84
104,87
105,9
106,93
107,95
108,97
